User_Key,Date/Time,City,Region,Country,Languages,Customization
TestAS#,2025-06-18T07:02:15.281023,SG,None,SG,IT|DE|FR,Purpose000
xm8JvEWXGh,2025-06-18T07:03:10.081273,Singapore,None,Singapore,JP|CN|FR,for dating and love
o7O82L47v1,2025-06-18T07:05:49.762514,Singapore,Singapore,SG,ES|DE,
WF51tlHXmC,2025-06-18T07:19:51.509378,Singapore,Singapore,SG,ES|DE,
9euB3smOhU,2025-06-18T07:23:18.410657,Singapore,Singapore,SG,ES|DE,
EIvpuhUcW8,2025-06-18T07:40:30.096691,Singapore,Singapore,SG,ES|DE,
660,2025-06-18 16:00:41.473442+08:00,SG,None,SG,IT|DE|FR,Purpose000
8tmS86Fqzo,2025-06-18 16:01:03.859146+08:00,Singapore,None,Singapore,ES|DE,
UMwWOhvhAm,2025-06-18 21:28:47.432732+08:00,Singapore,None,Singapore,ES|DE,
UMwWOhvhAm,2025-06-18 21:30:25.671944+08:00,Singapore,None,Singapore,ES|DE,Dating
UMwWOhvhAm,2025-06-18 21:33:28.590397+08:00,Singapore,None,Singapore,ES|DE,Dating
UMwWOhvhAm,2025-06-18 21:35:12.474517+08:00,Singapore,None,Singapore,ES|DE,Dating